Date,Temperature (°C),Humidity (%)
2025-06-08 07:40:01,13.26,82.6
2025-06-08 07:50:01,15.34,71.3
2025-06-08 08:00:01,17.91,67.8
2025-06-08 08:10:01,20.19,52.7
2025-06-08 08:20:01,21.87,44.1
2025-06-08 08:30:01,23.36,44.8
2025-06-08 08:40:01,24.35,39.7
2025-06-08 08:50:01,25.24,37.3
2025-06-08 09:00:01,26.43,36.3
2025-06-08 09:10:01,27.52,32.9
2025-06-08 09:20:01,27.81,30.9
2025-06-08 09:30:01,28.71,30.4
2025-06-08 09:40:01,29.79,31.5
2025-06-08 09:50:01,30.69,29.4
2025-06-08 10:00:02,30.78,25.7
2025-06-08 10:10:01,30.78,27
2025-06-08 10:20:01,31.77,27.1
2025-06-08 10:30:01,32.17,25.9
2025-06-08 10:40:01,31.97,25.5
2025-06-08 10:50:01,32.86,25.9
2025-06-08 11:00:01,33.46,27.2
2025-06-08 11:10:01,33.85,24.4
2025-06-08 11:20:01,33.66,25.7
2025-06-08 11:30:01,32.47,25.6
2025-06-08 11:40:01,32.17,25.6
2025-06-08 11:50:01,31.58,25.4
2025-06-08 12:00:01,31.18,25.6
2025-06-08 12:10:01,30.78,26.9
2025-06-08 12:20:01,30.29,24.9
2025-06-08 12:30:01,29.99,26.2
2025-06-08 12:40:01,29.79,24.7
2025-06-08 12:50:01,29.60,24.2
2025-06-08 13:00:01,29.70,27.2
2025-06-08 13:10:01,29.60,24.4
2025-06-08 13:20:01,29.60,26.1
2025-06-08 13:30:01,29.30,27.6
2025-06-08 13:40:01,29.10,27.5
2025-06-08 13:50:01,29.00,26.3
2025-06-08 14:00:01,28.80,28.3
2025-06-08 14:10:01,28.71,28.4
2025-06-08 14:20:01,28.51,27.4
2025-06-08 14:30:01,28.41,28.8
2025-06-08 14:40:01,28.01,28.8
2025-06-08 14:50:01,27.81,29.6
2025-06-08 15:00:01,27.72,29
2025-06-08 15:10:01,27.62,33.5
2025-06-08 15:20:01,27.42,30.2
2025-06-08 15:30:01,27.32,29.5
2025-06-08 15:40:01,27.02,29.2
2025-06-08 15:50:01,26.92,29.5
2025-06-08 16:00:02,26.73,29.5
2025-06-08 16:10:01,26.82,27.9
2025-06-08 16:20:01,26.53,27.8
2025-06-08 16:30:01,26.53,29.4
2025-06-08 16:40:01,26.43,29.2
2025-06-08 16:50:01,26.13,30
2025-06-08 17:00:01,25.93,29.7
2025-06-08 17:10:01,25.64,31.8
2025-06-08 17:20:01,25.54,35.1
2025-06-08 17:30:01,25.44,33.5
2025-06-08 17:40:01,25.24,35.4
2025-06-08 17:50:01,24.94,35.8
2025-06-08 18:00:01,24.75,34.5
2025-06-08 18:10:01,24.45,37.3
2025-06-08 18:20:01,24.15,37.4
2025-06-08 18:30:01,23.85,38.3
2025-06-08 18:40:01,23.46,38.5
2025-06-08 18:50:01,23.06,40.7
2025-06-08 19:00:01,22.77,42.7
2025-06-08 19:10:01,22.57,41.3
2025-06-08 19:20:01,22.37,42.6
2025-06-08 19:30:01,22.27,44.6
2025-06-08 19:40:01,21.97,48
2025-06-08 19:50:01,21.78,47.7
2025-06-08 20:00:01,21.48,47.7
2025-06-08 20:10:02,21.28,49
2025-06-08 20:20:01,20.98,50.3
2025-06-08 20:30:01,20.69,51.7
2025-06-08 20:40:01,20.29,52.4
2025-06-08 20:50:01,19.80,62.2
2025-06-08 21:00:01,19.30,65.2
2025-06-08 21:10:01,18.90,66.9
2025-06-08 21:20:01,18.51,66.2
2025-06-08 21:30:01,18.11,68.3
2025-06-08 21:40:01,17.91,68
2025-06-08 21:50:01,17.62,67.4
2025-06-08 22:00:01,17.42,69.3
2025-06-08 22:10:01,17.22,68.3
2025-06-08 22:20:01,17.02,68.4
2025-06-08 22:30:01,16.73,69.3
2025-06-08 22:40:01,16.43,70.3
2025-06-08 22:50:01,16.03,69.9
2025-06-08 23:00:01,15.74,71.8
2025-06-08 23:10:01,15.34,71.3
2025-06-08 23:20:01,15.04,76.1
2025-06-08 23:30:01,14.85,73.9
2025-06-08 23:40:01,14.65,75.7
2025-06-08 23:50:01,14.45,77.2
2025-06-09 00:00:01,14.55,75.2
2025-06-09 00:10:01,14.65,74.6
2025-06-09 00:20:01,14.85,73.6
2025-06-09 00:30:01,14.85,74.8
2025-06-09 00:40:01,14.75,75.8
2025-06-09 00:50:01,14.65,76.3
2025-06-09 01:00:01,14.65,77.9
2025-06-09 01:10:01,14.75,76
2025-06-09 01:20:01,14.85,76.3
2025-06-09 01:30:01,15.04,75.4
2025-06-09 01:40:01,15.14,75.9
2025-06-09 01:50:01,15.34,74.8
2025-06-09 02:00:01,15.54,73.2
2025-06-09 02:10:01,15.54,74.9
2025-06-09 02:20:01,15.34,76.5
2025-06-09 02:30:01,15.24,77.9
2025-06-09 02:40:01,15.14,79.2
2025-06-09 02:50:01,15.34,77.1
2025-06-09 03:00:01,15.54,74.9
2025-06-09 03:10:02,15.64,76.2
2025-06-09 03:20:01,15.74,74.8
2025-06-09 03:30:01,15.93,72.8
2025-06-09 03:40:01,16.03,72.5
2025-06-09 03:50:01,16.13,73.8
2025-06-09 04:00:01,16.13,74.3
2025-06-09 04:10:01,16.13,75.6
2025-06-09 04:20:01,16.13,75.1
2025-06-09 04:30:01,16.13,74.5
2025-06-09 04:40:01,16.23,72.4
2025-06-09 04:50:01,16.23,72.3
2025-06-09 05:00:01,16.23,72.4
2025-06-09 05:10:01,16.23,71.4
2025-06-09 05:20:01,16.33,71.2
2025-06-09 05:30:01,16.23,72.5
2025-06-09 05:40:01,16.23,72.5
2025-06-09 05:50:01,16.23,72.5
2025-06-09 06:00:01,16.33,72.1
2025-06-09 06:10:01,16.43,71.9
2025-06-09 06:20:01,16.73,71.6
2025-06-09 06:30:01,16.83,70.8
2025-06-09 06:40:01,16.92,70.8
